Descripcion,Ubicacion,Colonia,Zona,USD/MX,Numero_Total,M2,Numero_m2,Cantidad,Banos/Estacionamiento
Cad Plaza 1730 Magnífica Ubicación. Dos Niveles," Barrio La Poza, Acapulco de Juárez",Morelos,Morelos,MN,24000000,m²,1500,,
Cad Torre Latina. Oficina Piso 9. Vista Al Mar. 5 Estacionamientos," Fraccionamiento Club Deportivo, Acapulco de Juárez",Del Parque,Del Parque,USD,355215,m²,237,5,estac.
Cad Torre Latina. Oficina Piso 7. Vista Al Campo de Golf y a La Bahía," Fraccionamiento Club Deportivo, Acapulco de Juárez",Del Parque,Del Parque,USD,355215,m²,237,5,estac.
Cad Torre Latina. Oficina Piso 6. Vistas Al Campo de Golf y Al Mar," Fraccionamiento Club Deportivo, Acapulco de Juárez",Del Parque,Del Parque,USD,355215,m²,236,5,estac.
Oficina en Venta," Acapulco de Juárez Centro, Acapulco de Juárez",,,MN,1290000,,,,
Casa - Oficina en Costa Azul Ideal Para Corporativo en Acapulco," Acapulco de Juárez, Guerrero",,,MN,3800000,m²,95,4,baños
"Oficinas en Venta Desde $749,961.83 en Acapulco"," Fraccionamiento Club Deportivo, Acapulco de Juárez",Del Parque,Del Parque,MN,5881852,,,,
Oficina en Preventa en Costa Azul," Fraccionamiento Costa Azul, Acapulco de Juárez",Horacio Nelson,Horacio Nelson,MN,2240000,m²,118,2,baños
Oficina en Venta en Condesa," Condesa, Cuauhtémoc",,,MN,5850000,m²,130,4,rec.
Oficinas en Venta en La Roma.," Roma, Cuauhtémoc",,,MN,3100000,m²,78,5,baños
Cad Plaza 1730 Magnífica Ubicación. Dos Niveles," Barrio La Poza, Acapulco de Juárez",Morelos,Morelos,MN,24000000,m²,1500,,
Cad Torre Latina. Oficina Piso 9. Vista Al Mar. 5 Estacionamientos," Fraccionamiento Club Deportivo, Acapulco de Juárez",Del Parque,Del Parque,USD,355215,m²,237,5,estac.
Oficina en Venta en Condesa," Condesa, Cuauhtémoc",,,MN,5850000,m²,130,4,rec.
Cad Plaza 1730 Magnífica Ubicación. Dos Niveles," Barrio La Poza, Acapulco de Juárez",Morelos,Morelos,MN,24000000,m²,1500,,
