,Descripcion,Ubicacion,Colonia,Zona,USD/MX,Numero_Total,M2,Numero_m2,Cantidad,Banos/Estacionamiento
0,CAD Torre Latina. Oficina Piso 9. Vista al Mar. 5 Estacionamientos,Fraccionamiento Club Deportivo Acapulco de Juárez,Av Costera Miguel Aleman ,Zona Dorada,USD,355215,m²,237,5,estac.
1,"Blvrd. de las Naciones 1730, la Poza","Barrio La Poza, Acapulco de Juárez",Desconocido,Diamante,MN,24000000,m²,1500,,
2,Av. Costera Miguel Alemán 2611,"Fraccionamiento Club Deportivo, Acapulco de Juárez",Av Costera Miguel Aleman ,Zona Dorada,USD,355215,m²,237,5,estac.
3,CAD Torre Latina. Oficina Piso 6. Vistas al Campo de Golf y al mar,"Fraccionamiento Club Deportivo, Acapulco de Juárez",Av Costera Miguel Aleman ,Zona Dorada,USD,355215,m²,236,5,estac.
4,Oficina en Venta,"Acapulco de Juárez Centro, Acapulco de Juárez",Desconocido,Desconocido,MN,1290000,,,,
5,COSTA AZUL,"Acapulco de Juárez, Guerrero",Desconocido,Desconocido,MN,3800000,m²,95,4,baños
6,Comandante Baresford,"Fraccionamiento Costa Azul, Acapulco de Juárez",Desconocido,Zona Dorada,MN,1690000,m²,118,2,baños
7,Av Costera Miguel Alemán,"Fraccionamiento Club Deportivo, Acapulco de Juárez",Av Costera Miguel Aleman ,Zona Dorada,MN,5881852,,,,
8,AQUILES SERDAN,"Acapulco de Juárez Centro, Acapulco de Juárez",Desconocido,Desconocido,MN,650000,m²,32,1,baño
9,CAD Torre Latina. Oficina Piso 9. Vista al Mar. 5 Estacionamientos,"Fraccionamiento Club Deportivo, Acapulco de Juárez",Av Costera Miguel Aleman ,Zona Dorada,USD,355215,m²,237,5,estac.
10,CAD Torre Latina. Oficina Piso 6. Vistas al Campo de Golf y al mar,"Fraccionamiento Club Deportivo, Acapulco de Juárez",Av Costera Miguel Aleman ,Zona Dorada,USD,355215,m²,236,5,estac.
11,COSTA AZUL,"Acapulco de Juárez, Guerrero",Desconocido,Desconocido,MN,3800000,m²,95,4,baños
12,AQUILES SERDAN,"Acapulco de Juárez Centro, Acapulco de Juárez",Desconocido,Desconocido,MN,650000,m²,32,1,baño
13,CAD Torre Latina. Oficina Piso 9. Vista al Mar. 5 Estacionamientos,"Fraccionamiento Club Deportivo, Acapulco de Juárez",Av Costera Miguel Aleman ,Zona Dorada,USD,355215,m²,237,5,estac.
14,CAD Torre Latina. Oficina Piso 9. Vista al Mar. 5 Estacionamientos,"Fraccionamiento Club Deportivo, Acapulco de Juárez",Av Costera Miguel Aleman ,Zona Dorada,USD,355215,m²,237,5,estac.
15,CAD Torre Latina. Oficina Piso 9. Vista al Mar. 5 Estacionamientos,"Fraccionamiento Club Deportivo, Acapulco de Juárez",Av Costera Miguel Aleman ,Zona Dorada,USD,355215,m²,237,5,estac.
